Date,NPV,Return,Strike
7/1/2010,0.0409159,0,2.92%
7/2/2010,0.0395103,-0.034957343,
7/3/2010,0.0392251,-0.007244549,
7/4/2010,0.0391564,-0.001752965,
7/5/2010,0.0420542,0.07139538,
7/6/2010,0.0422638,0.004971665,
7/7/2010,0.042059,-0.004857533,
7/8/2010,0.0407213,-0.032322097,
7/9/2010,0.0393349,-0.034639132,
7/10/2010,0.039118,-0.005529446,
7/11/2010,0.0390409,-0.001972905,
7/12/2010,0.0384061,-0.016393513,
7/13/2010,0.0370306,-0.036471703,
7/14/2010,0.0415058,0.114088579,
7/15/2010,0.0447511,0.075282849,
7/16/2010,0.049442,0.09968424,
7/17/2010,0.0492288,-0.004321447,
7/18/2010,0.049175,-0.001093454,
7/19/2010,0.0475515,-0.03357203,
7/20/2010,0.0487313,0.0245082,
7/21/2010,0.0512209,0.049826118,
7/22/2010,0.0506254,-0.011694225,
7/23/2010,0.0471116,-0.071934171,
7/24/2010,0.0469122,-0.004241486,
7/25/2010,0.046848,-0.001369451,
7/26/2010,0.0473064,0.009737275,
7/27/2010,0.0449144,-0.051887137,
7/28/2010,0.0500183,0.107630482,
7/29/2010,0.0524872,0.048180392,
7/30/2010,0.0553038,0.052272292,
7/31/2010,0.0553031,-1.27E-05,
8/1/2010,0.0550599,-0.004407281,
8/2/2010,0.0548295,-0.004193313,
8/3/2010,0.058409,0.063241617,
8/4/2010,0.0549541,-0.060971696,
8/5/2010,0.0567058,0.031378207,
8/6/2010,0.0585028,0.031198118,
8/7/2010,0.0582989,-0.003491391,
8/8/2010,0.0582608,-0.000653742,
8/9/2010,0.0575138,-0.012904564,
8/10/2010,0.060783,0.055285226,
8/11/2010,0.0629927,0.035708702,
8/12/2010,0.0593592,-0.059411725,
8/13/2010,0.0602996,0.015718349,
8/14/2010,0.0601029,-0.003267377,
8/15/2010,0.0600801,-0.000379421,
8/16/2010,0.0635468,0.05609797,
8/17/2010,0.0617527,-0.028638943,
8/18/2010,0.0612122,-0.008791183,
8/19/2010,0.0629611,0.028170559,
8/20/2010,0.0603615,-0.042165591,
8/21/2010,0.0601543,-0.003438557,
8/22/2010,0.060123,-0.000520464,
8/23/2010,0.0623839,0.036914765,
8/24/2010,0.0665719,0.064975337,
8/25/2010,0.0635269,-0.046819128,
8/26/2010,0.064966,0.022400618,
